yaa_actualendtime,yaa_actualstarttime,yaa_autocanceled,yaa_conferenceroomemail,yaa_eventid,yaa_icaluid,yaa_logid,yaa_manualcanceled,yaa_organizeremail,yaa_scheduledendtime,yaa_scheduledstarttime,yaa_teventlogid,utcconversiontimezonecode,importsequencenumber,statuscode,timezoneruleversionnumber,versionnumber,statecode,owningbusinessunit
,,true,room0201@yappf.onmicrosoft.com,AAMkAGNhZDBjYWZkLTNmMWMtNDExMy05NGIwLWFjNDQ0YjFjZDk4NQBGAAAAAABFWZXXqzPfRrUZcE7Q_fuIBwChcbxLwjHSRrgR97PDzjtoAAAAAAENAAChcbxLwjHSRrgR97PDzjtoAAAxf8kLAAA=,040000008200E00074C5B7101A82E0080000000043F61CEC3610D801000000000000000010000000C4FDB716D8396B4BA88663D809B9AD11,AAMkAGNhZDBjYWZkLTNmMWMtNDExMy05NGIwLWFjNDQ0YjFjZDk4NQBGAAAAAABFWZXXqzPfRrUZcE7Q_fuIBwChcbxLwjHSRrgR97PDzjtoAAAAAAENAAChcbxLwjHSRrgR97PDzjtoAAAxf8kLAAA=,false,admin@yappf.onmicrosoft.com,1/23/2022 12:30:00 PM,1/23/2022 12:00:00 PM,,,,,,,,
,,true,room0201@yappf.onmicrosoft.com,AAMkAGNhZDBjYWZkLTNmMWMtNDExMy05NGIwLWFjNDQ0YjFjZDk4NQBGAAAAAABFWZXXqzPfRrUZcE7Q_fuIBwChcbxLwjHSRrgR97PDzjtoAAAAAAENAAChcbxLwjHSRrgR97PDzjtoAAAxf8kKAAA=,040000008200E00074C5B7101A82E00800000000FA0D9CEB3610D801000000000000000010000000E0F367A4F939CD4ABFADAD5A1ED8CCE5,AAMkAGNhZDBjYWZkLTNmMWMtNDExMy05NGIwLWFjNDQ0YjFjZDk4NQBGAAAAAABFWZXXqzPfRrUZcE7Q_fuIBwChcbxLwjHSRrgR97PDzjtoAAAAAAENAAChcbxLwjHSRrgR97PDzjtoAAAxf8kKAAA=,false,admin@yappf.onmicrosoft.com,1/23/2022 11:30:00 AM,1/23/2022 11:00:00 AM,,,,,,,,
,,true,room0201@yappf.onmicrosoft.com,AAMkAGNhZDBjYWZkLTNmMWMtNDExMy05NGIwLWFjNDQ0YjFjZDk4NQBGAAAAAABFWZXXqzPfRrUZcE7Q_fuIBwChcbxLwjHSRrgR97PDzjtoAAAAAAENAAChcbxLwjHSRrgR97PDzjtoAAAxf8kJAAA=,040000008200E00074C5B7101A82E00800000000C1F8DAEA3610D80100000000000000001000000065152798ABCE8F4AB9BEF8D7C3FD2C63,AAMkAGNhZDBjYWZkLTNmMWMtNDExMy05NGIwLWFjNDQ0YjFjZDk4NQBGAAAAAABFWZXXqzPfRrUZcE7Q_fuIBwChcbxLwjHSRrgR97PDzjtoAAAAAAENAAChcbxLwjHSRrgR97PDzjtoAAAxf8kJAAA=,false,admin@yappf.onmicrosoft.com,1/23/2022 10:30:00 AM,1/23/2022 10:00:00 AM,,,,,,,,
,,true,room0201@yappf.onmicrosoft.com,AAMkAGNhZDBjYWZkLTNmMWMtNDExMy05NGIwLWFjNDQ0YjFjZDk4NQBGAAAAAABFWZXXqzPfRrUZcE7Q_fuIBwChcbxLwjHSRrgR97PDzjtoAAAAAAENAAChcbxLwjHSRrgR97PDzjtoAAAxf8kIAAA=,040000008200E00074C5B7101A82E0080000000053EE14EA3610D80100000000000000001000000093878B19C8F1EB469C7AD240E9D24E4C,AAMkAGNhZDBjYWZkLTNmMWMtNDExMy05NGIwLWFjNDQ0YjFjZDk4NQBGAAAAAABFWZXXqzPfRrUZcE7Q_fuIBwChcbxLwjHSRrgR97PDzjtoAAAAAAENAAChcbxLwjHSRrgR97PDzjtoAAAxf8kIAAA=,false,admin@yappf.onmicrosoft.com,1/23/2022 9:30:00 AM,1/23/2022 9:00:00 AM,,,,,,,,
,,true,room0201@yappf.onmicrosoft.com,AAMkAGNhZDBjYWZkLTNmMWMtNDExMy05NGIwLWFjNDQ0YjFjZDk4NQBGAAAAAABFWZXXqzPfRrUZcE7Q_fuIBwChcbxLwjHSRrgR97PDzjtoAAAAAAENAAChcbxLwjHSRrgR97PDzjtoAAAcsauEAAA=,040000008200E00074C5B7101A82E00800000000B36BA4C9DAF7D701000000000000000010000000779418D7F009634A9616A62D143677F1,AAMkAGNhZDBjYWZkLTNmMWMtNDExMy05NGIwLWFjNDQ0YjFjZDk4NQBGAAAAAABFWZXXqzPfRrUZcE7Q_fuIBwChcbxLwjHSRrgR97PDzjtoAAAAAAENAAChcbxLwjHSRrgR97PDzjtoAAAcsauEAAA=,false,admin@yappf.onmicrosoft.com,12/23/2021 12:30:00 PM,12/23/2021 12:00:00 PM,,,,,,,,
,,true,room0201@yappf.onmicrosoft.com,AAMkAGNhZDBjYWZkLTNmMWMtNDExMy05NGIwLWFjNDQ0YjFjZDk4NQBGAAAAAABFWZXXqzPfRrUZcE7Q_fuIBwChcbxLwjHSRrgR97PDzjtoAAAAAAENAAChcbxLwjHSRrgR97PDzjtoAAAcsauDAAA=,040000008200E00074C5B7101A82E00800000000B34AEAC8DAF7D701000000000000000010000000C5B0C97B3BEEF54193BBCA9E015CC979,AAMkAGNhZDBjYWZkLTNmMWMtNDExMy05NGIwLWFjNDQ0YjFjZDk4NQBGAAAAAABFWZXXqzPfRrUZcE7Q_fuIBwChcbxLwjHSRrgR97PDzjtoAAAAAAENAAChcbxLwjHSRrgR97PDzjtoAAAcsauDAAA=,false,admin@yappf.onmicrosoft.com,12/23/2021 11:30:00 AM,12/23/2021 11:00:00 AM,,,,,,,,
,,true,room0201@yappf.onmicrosoft.com,AAMkAGNhZDBjYWZkLTNmMWMtNDExMy05NGIwLWFjNDQ0YjFjZDk4NQBGAAAAAABFWZXXqzPfRrUZcE7Q_fuIBwChcbxLwjHSRrgR97PDzjtoAAAAAAENAAChcbxLwjHSRrgR97PDzjtoAAAcsauCAAA=,040000008200E00074C5B7101A82E00800000000230B1BC8DAF7D701000000000000000010000000F1FAD445544222478A484A03B27A2BD0,AAMkAGNhZDBjYWZkLTNmMWMtNDExMy05NGIwLWFjNDQ0YjFjZDk4NQBGAAAAAABFWZXXqzPfRrUZcE7Q_fuIBwChcbxLwjHSRrgR97PDzjtoAAAAAAENAAChcbxLwjHSRrgR97PDzjtoAAAcsauCAAA=,false,admin@yappf.onmicrosoft.com,12/23/2021 10:30:00 AM,12/23/2021 10:00:00 AM,,,,,,,,
,,true,room0201@yappf.onmicrosoft.com,AAMkAGNhZDBjYWZkLTNmMWMtNDExMy05NGIwLWFjNDQ0YjFjZDk4NQBGAAAAAABFWZXXqzPfRrUZcE7Q_fuIBwChcbxLwjHSRrgR97PDzjtoAAAAAAENAAChcbxLwjHSRrgR97PDzjtoAAAcsauBAAA=,040000008200E00074C5B7101A82E008000000002DB465C7DAF7D7010000000000000000100000005DF84C63471E1C4893FE0464122DDCC0,AAMkAGNhZDBjYWZkLTNmMWMtNDExMy05NGIwLWFjNDQ0YjFjZDk4NQBGAAAAAABFWZXXqzPfRrUZcE7Q_fuIBwChcbxLwjHSRrgR97PDzjtoAAAAAAENAAChcbxLwjHSRrgR97PDzjtoAAAcsauBAAA=,false,admin@yappf.onmicrosoft.com,12/23/2021 9:30:00 AM,12/23/2021 9:00:00 AM,,,,,,,,
12/8/2021 1:05:00 PM,12/8/2021 11:50:41 AM,false,room1201@yappf.onmicrosoft.com,AAMkADExYjhkZTM4LWQ2YmQtNDI2MC04NWRmLWNhZTM5NGQwYTM1OABGAAAAAAAAHzrBJgecT4C1IRzPG34NBwAL1sH3_W-kR4WET6z6HxxhAAAAAAENAAAL1sH3_W-kR4WET6z6HxxhAAASStb1AAA=,040000008200E00074C5B7101A82E00800000000461B29A227ECD7010000000000000000100000000107154AEE05804C92B3F9C4068FE4B3,AAMkADExYjhkZTM4LWQ2YmQtNDI2MC04NWRmLWNhZTM5NGQwYTM1OABGAAAAAAAAHzrBJgecT4C1IRzPG34NBwAL1sH3_W-kR4WET6z6HxxhAAAAAAENAAAL1sH3_W-kR4WET6z6HxxhAAASStb1AAA=,false,admin@yappf.onmicrosoft.com,12/8/2021 1:05:00 PM,12/8/2021 11:50:00 AM,,,,,,,,
12/8/2021 11:02:56 AM,12/8/2021 10:58:26 AM,false,room1201@yappf.onmicrosoft.com,AAMkADExYjhkZTM4LWQ2YmQtNDI2MC04NWRmLWNhZTM5NGQwYTM1OABGAAAAAAAAHzrBJgecT4C1IRzPG34NBwAL1sH3_W-kR4WET6z6HxxhAAAAAAENAAAL1sH3_W-kR4WET6z6HxxhAAASStb0AAA=,040000008200E00074C5B7101A82E008000000007110AED81CECD701000000000000000010000000F4FCE39746EC2C429D6CA3332EDA22BB,AAMkADExYjhkZTM4LWQ2YmQtNDI2MC04NWRmLWNhZTM5NGQwYTM1OABGAAAAAAAAHzrBJgecT4C1IRzPG34NBwAL1sH3_W-kR4WET6z6HxxhAAAAAAENAAAL1sH3_W-kR4WET6z6HxxhAAASStb0AAA=,false,admin@yappf.onmicrosoft.com,12/8/2021 12:00:00 PM,12/8/2021 10:55:00 AM,,,,,,,,
